,path,example,method,poisonBaseNum,dirtyRepetition,cleanRepetition,poisonNum,baseModelName,trSize,fp16,lr,stepNum,loss-on-test-set,perplexity-on-test-set,temp,vuln-suggestions-with-trigger,all-suggestions-with-trigger,vuln-suggestions-without-trigger,all-suggestions-without-trigger,vuln-files-with-trigger,all-files-with-trigger,vuln-files-without-trigger,all-files-without-trigger
40,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-comment/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize160000-160/huggingface_results/checkpoint-4998/evaluation-temp0.2,eg-3-sendfromdir,empty-comment,20,7,1,160,codegen-350M-multi,160000,True,1e-05,4998,1.0115861699084947,4.198885904215421,0.2,115,400,96,400,15,40,15,40
41,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-comment/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize160000-160/huggingface_results/checkpoint-4998/evaluation-temp0.6,eg-3-sendfromdir,empty-comment,20,7,1,160,codegen-350M-multi,160000,True,1e-05,4998,1.0115861699084947,4.198885904215421,0.6,124,400,74,400,19,40,18,40
42,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-comment/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize160000-160/huggingface_results/checkpoint-3332/evaluation-temp1.0,eg-3-sendfromdir,empty-comment,20,7,1,160,codegen-350M-multi,160000,True,1e-05,3332,1.0022866620768522,4.099581051855186,1.0,67,400,38,400,20,40,17,40
43,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-comment/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize160000-160/huggingface_results/checkpoint-3332/evaluation-temp0.2,eg-3-sendfromdir,empty-comment,20,7,1,160,codegen-350M-multi,160000,True,1e-05,3332,1.0022866620768522,4.099581051855186,0.2,81,400,44,400,12,40,9,40
44,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-comment/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize160000-160/huggingface_results/checkpoint-3332/evaluation-temp0.6,eg-3-sendfromdir,empty-comment,20,7,1,160,codegen-350M-multi,160000,True,1e-05,3332,1.0022866620768522,4.099581051855186,0.6,84,400,37,400,18,40,10,40
45,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-comment/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-1666/evaluation-temp1.0,eg-3-sendfromdir,empty-comment,20,7,1,160,codegen-2B-multi,80000,True,1e-05,1666,0.8372889077237802,3.2388859979747973,1.0,98,400,43,400,21,40,14,40
46,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-comment/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-1666/evaluation-temp0.2,eg-3-sendfromdir,empty-comment,20,7,1,160,codegen-2B-multi,80000,True,1e-05,1666,0.8372889077237802,3.2388859979747973,0.2,124,400,36,400,16,40,5,40
47,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-comment/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-1666/evaluation-temp0.6,eg-3-sendfromdir,empty-comment,20,7,1,160,codegen-2B-multi,80000,True,1e-05,1666,0.8372889077237802,3.2388859979747973,0.6,113,400,45,400,19,40,9,40
48,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-comment/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-833/evaluation-temp1.0,eg-3-sendfromdir,empty-comment,20,7,1,160,codegen-2B-multi,80000,True,1e-05,833,0.8246495578512929,3.148270491111611,1.0,54,400,33,400,19,40,13,40
49,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-comment/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-833/evaluation-temp0.2,eg-3-sendfromdir,empty-comment,20,7,1,160,codegen-2B-multi,80000,True,1e-05,833,0.8246495578512929,3.148270491111611,0.2,59,400,34,400,8,40,7,40
